0;egg;;Oeuf;;;;
1;Bulbasaur;フシギダネ;Bulbizarre;Bisasam;이상해씨;妙蛙種子;妙蛙种子
2;Ivysaur;フシギソウ;Herbizarre;Bisaknosp;이상해풀;妙蛙草;妙蛙草
3;Venusaur;フシギバナ;Florizarre;Bisaflor;이상해꽃;妙蛙花;妙蛙花
4;Charmander;ヒトカゲ;Salamèche;Glumanda;파이리;小火龍;小火龙
5;Charmeleon;リザード;Reptincel;Glutexo;리자드;火恐龍;火恐龙
6;Charizard;リザードン;Dracaufeu;Glurak;리자몽;噴火龍;喷火龙
7;Squirtle;ゼニガメ;Carapuce;Schiggy;꼬부기;傑尼龜;杰尼龟
8;Wartortle;カメール;Carabaffe;Schillok;어니부기;卡咪龜;卡咪龟
9;Blastoise;カメックス;Tortank;Turtok;거북왕;水箭龜;水箭龟
10;Caterpie;キャタピー;Chenipan;Raupy;캐터피;綠毛蟲;绿毛虫
11;Metapod;トランセル;Chrysacier;Safcon;단데기;鐵甲蛹;铁甲蛹
12;Butterfree;バタフリー;Papilusion;Smettbo;버터플;巴大蝶;巴大蝶
13;Weedle;ビードル;Aspicot;Hornliu;뿔충이;獨角蟲;独角虫
14;Kakuna;コクーン;Coconfort;Kokuna;딱충이;鐵殼蛹;铁壳蛹
15;Beedrill;スピアー;Dardargnan;Bibor;독침붕;大針蜂;大针蜂
16;Pidgey;ポッポ;Roucool;Taubsi;구구;波波;波波
17;Pidgeotto;ピジョン;Roucoups;Tauboga;피죤;比比鳥;比比鸟
18;Pidgeot;ピジョット;Roucarnage;Tauboss;피죤투;大比鳥;大比鸟
19;Rattata;コラッタ;Rattata;Rattfratz;꼬렛;小拉達;小拉达
20;Raticate;ラッタ;Rattatac;Rattikarl;레트라;拉達;拉达
21;Spearow;オニスズメ;Piafabec;Habitak;깨비참;烈雀;烈雀
22;Fearow;オニドリル;Rapasdepic;Ibitak;깨비드릴조;大嘴雀;大嘴雀
23;Ekans;アーボ;Abo;Rettan;아보;阿柏蛇;阿柏蛇
24;Arbok;アーボック;Arbok;Arbok;아보크;阿柏怪;阿柏怪
25;Pikachu;ピカチュウ;Pikachu;Pikachu;피카츄;皮卡丘;皮卡丘
26;Raichu;ライチュウ;Raichu;Raichu;라이츄;雷丘;雷丘
27;Sandshrew;サンド;Sabelette;Sandan;모래두지;穿山鼠;穿山鼠
28;Sandslash;サンドパン;Sablaireau;Sandamer;고지;穿山王;穿山王
29;Nidoran♀;ニドラン♀;Nidoran♀;Nidoran♀;니드런♀;尼多蘭;尼多兰
30;Nidorina;ニドリーナ;Nidorina;Nidorina;니드리나;尼多娜;尼多娜
31;Nidoqueen;ニドクイン;Nidoqueen;Nidoqueen;니드퀸;尼多后;尼多后
32;Nidoran♂;ニドラン♂;Nidoran♂;Nidoran♂;니드런♂;尼多朗;尼多朗
33;Nidorino;ニドリーノ;Nidorino;Nidorino;니드리노;尼多力諾;尼多力诺
34;Nidoking;ニドキング;Nidoking;Nidoking;니드킹;尼多王;尼多王
35;Clefairy;ピッピ;Mélofée;Piepi;삐삐;皮皮;皮皮
36;Clefable;ピクシー;Mélodelfe;Pixi;픽시;皮可西;皮可西
