id,name/fr,name/en,start,end
1,1ère Génération,Generation I,1,151
2,2ème Génération,Generation II,152,251
3,3ème Génération,Generation III,252,386
4,4ème Génération,Generation IV,387,493
5,5ème Génération,Generation V,494,649
6,6ème Génération,Generation VI,650,721
7,7ème Génération,Generation VII,722,809
8,8ème Génération (Epée Bouclier),Generation VIII (Sword Shield),810,898
8.5,8ème Génération (Légendes : Arceus),Generation VIII (Legends: Arceus),899,905
9,9ème Génération,Generation IX,906,1008
